DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.latency,FFN.latency,FFN.energy
16,3,1,1,1,4,1,4,3,4,256,64,64,12,1,1,1,4,1,1,1,1,1,1,256,256,256,0.01644255890957447,9742604829704.219,0.001899475930851064,2110193208010.243,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539101920226.682
64,4,1,1,1,2,1,2,2,1,192,64,64,12,2,1,2,6,1,1,1,1,1,1,256,256,256,0.01651746994680851,10101163079062.096,0.0020752571808510638,2140898633855.0063,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,64,1,1,1,2,1,4,4,1,12,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,0.016928367819148936,10782950647640.494,0.002385284840425532,3150510192162.9497,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
32,96,1,1,1,2,1,4,1,2,8,64,64,12,2,1,1,12,1,1,1,1,1,1,256,256,256,0.01644255890957447,11297688202500.06,0.001899475930851064,3665266969544.8945,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539111531487.871
64,8,1,1,1,4,1,4,2,1,96,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,0.017589957978723404,9868091781732.576,0.003046875,2235651326255.031,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,64,1,1,1,2,1,2,6,1,12,64,64,12,2,1,2,2,1,1,1,1,1,1,256,256,256,0.01651746994680851,11101418300377.03,0.0020752571808510638,3141153855169.94,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,8,1,1,1,1,1,4,6,1,96,64,64,12,4,1,1,2,1,1,1,1,1,1,256,256,256,0.01665171635638298,9802597422781.508,0.002209503590425532,2207582315276.002,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,48,1,1,1,4,1,2,2,1,16,64,64,12,1,1,2,6,1,1,1,1,1,1,256,256,256,0.01717906010638298,10853396248679.066,0.002736847340425532,2893131803471.977,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,128,1,1,1,4,1,2,12,1,6,64,64,12,1,1,2,1,1,1,1,1,1,1,256,256,256,0.01717906010638298,12187050804752.555,0.002736847340425532,4226805431891.8887,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891844143849.266
64,16,1,1,1,2,1,4,3,1,48,64,64,12,2,1,1,4,1,1,1,1,1,1,256,256,256,0.016928367819148936,9982746470588.547,0.002385284840425532,2350306015111.003,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,192,1,1,1,4,1,1,4,1,4,64,64,12,1,1,4,3,1,1,1,1,1,1,256,256,256,0.01717906010638298,13236845884086.533,0.002736847340425532,5289066166131.3125,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891853604934.499
64,32,1,1,1,4,1,2,2,1,24,64,64,12,1,1,2,6,1,1,1,1,1,1,256,256,256,0.01717906010638298,10586661522995.084,0.002736847340425532,2626397077787.9946,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
32,192,1,1,1,2,1,4,12,2,4,64,64,12,2,1,1,1,1,1,1,1,1,1,256,256,256,0.01644255890957447,12898077484257.531,0.001899475930851064,5265675323648.789,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539092459141.448
